CODE #,CODE TYPE,NARRATIVE,M/F
11305(C),VC,FL COMPARE ID NUM VEH,M
11305(D),VC,CAUSE LOSS/DMG FRD/DECEIT,M
11305(E),VC,"VIOL SECTION 20, 27, 31",M
11515(A)(1),VC,SUBMIT REQ VEH CERT/ETC,M
11515(B),VC,FL NOTIFY INSURED/OWNER,M
11515(C),VC,FL SUBMT CERT OWNERSHIP,M
11515(C),VC,FL SBMT OWNSHP INT DEFRD,M
11515(D),VC,FL SUBMT SALVAGE CERT,M
11515(E),VC,OBT SALVAGE CERT/DELIVER,M
11515.2(A)(1),VC,FL SUBMT CERT OWNERSHIP,M
11515.2(B),VC,FL SBMT CERT OWNRSHP NNRP,M
11515.2(C),VC,FL ENDORSE CERT OWNERSHIP,M
11515.2(D),VC,FL SBMT CRT OWNRSHP STLMT,M
11515.2(E),VC,FL SUBMT SALVAGE CERT,M
11520(A),VC,FL COMPL VEH DISMNTL REQS,M
11600,VC,FL OBT VEH DLR LIC,M
11615.5,VC,UNLAW LESSOR-RETAILER,M
11615(A),VC,DLVR VEH NOT MEET ALL REQ,M
11615(B),VC,FL DLVER CERT OWNERSHIP,M
11615(C),VC,VIOL DIV 2 PART 5 REGS,M
11615(D),VC,TAKE VEH TRADE/PART SOLD,M
11615(E),VC,SELL VEH NT PRV LEASD/ETC,M
11615(F),VC,DSPLY VEH LOC NOT PRINCPL,M
12516,VC,DRV SCHOOLBUS PUPILS -18,M
12517(A)(2),VC,OPR SCHLBUS W/O CERT,M
12804.10(B),VC,OPR HSE CAR 40 FT W/O LIC,M
12804.15(B),VC,DRVR HSE CAR W/O APRO LIC,M
12804.9(C),VC,OPR COMMERC VEH W/O MEDCL,M
12804.9(J),VC,OPR VANPPOOL W/O MEDCL,X
14602.6(G)(4),VC,RLS IMPOUND VEH VIOL REQ,M
14602.7(F)(4),VC,RLS IMPOUND VEH VIOL REQ,M
14602.8(G)(4),VC,RLS IMPOUND VEH VIOL REQ,M
14610.7,VC,ASST OBT CDL UNAUTH,M
14610(A)(4),VC,FL/REF SURRENDER RVKD DL,M
14610(A)(5),VC,PRMT UNLAW USE ISSUED DL,M
14610(A)(6),VC,VIOL LICENSE PROVISIONS,M
14610.5(A)(1),VC,SELL CRIB SHEET EXAM CDL,M
15278(A),VC,FL OBTN ENDRSMNT COMM VEH,M
15309.5(A)(2),VC,IMPERS APP COMMERC DL,M
15309.5(A)(3),VC,PRVD UNAUTH ASST EXAM CDL,M
15501,VC,MNR FALSE DL F/VEH PURCH,M
20003(B),VC,FL EXHBT CDL ACC INJ/DTH,M
21100.4(F)(4),VC,RELEASE VEH AT IMPOUNDMNT,M
21464(A),VC,INJ/ETC TRAFFIC CNTRL DVC,M
21464(A),VC,INJ TRAFFIC CNTRL DVC DTH,F
21464(B),VC,USE INFRARED TRANSMITTER,M
21464(B),VC,USE INFRARED TRANSMTR DTH,F
21464(C),VC,INTERF W/TRAF DEV:DTH/INJ,M
369H,PC,ERECT SIGN:MISLEAD RR EMP,M
373A,PC,MAINTAIN NUISANCE AFT NOT,M
381A,PC,FALSE DAIRY PRODUCT TEST,M
382,PC,ADULTERATE FOOD/DRUGS/ETC,M
382.6,PC,SELL EYEBROW DYE CHEMICAL,F
383,PC,SELL ADULTERATED FOOD/ETC,M
383A,PC,PROCESS BUTTER W/O LABEL,M
383B,PC,FRAUD SALE OF KOSHER MEAT,M
385(B),PC,TOOLS NEAR HIGH VOLT LINE,M
402A,PC,ADULTERATION OF CANDY,M
402B,PC,DISCARD APPLIANCE W/LOCK,M
402C,PC,SELL NEW REFRIG W/O LOCK,M
7052,HS,MUTILATE/ETC GRAVE REMAIN,F
7055,HS,UNAUTH REMAINS REMOVAL,M
13000,HS,FAIL PREVENT FIRE SPREAD,M
13001,HS,THROW BURNING MATERIAL,M
13002(A),HS,THROW FLAME SUB FROM VEH,M
2903,BP,PRACTICE PSYCHOLGY:NO LIC,M
2913,BP,PSYCHOLOGICAL ASSIST VIOL,M
2796,BP,PROFESSIONAL PRACTICE VIO,M
375(A),PC,OFFENSIVE SUB:PUB PLACE,M
2053,BP,UNAUTH MEDICAL PRACTICE,F
375(D),PC,USE OF TEAR/MUSTARD GAS,F
5411,HS,DISCHARGE WASTE ILLEGALLY,M
25189.5(B),HS,DISPOSE HAZARD WASTE VIOL,F
25189.5(C),HS,TRANSPORT HAZARDOUS WASTE,F
35283(B),FA,MFG MILK W/O LIC,F
25189.5(A),HS,DISPOSE HAZARD WASTE VIOL,F
11374.5(A),HS,ILL DISP HAZ C/SUB/WASTE,F
25189.5(D),HS,HAZARD WASTE STORAGE VIOL,F
374.7(A),PC,LITTER WATERS OR SHORE,M
41800,HS,UNAUTH NON-AG BURNING,M
13376,WC,NONRPT/ETC WASTE:NAV WATR,M
7051,HS,REMOVE HUMAN REMAIN:UNLAW,F
374.8(B),PC,DUMP HAZRD:ROAD/WATER/ETC,M
374.8(B),PC,DUMP HAZARD SUB:ROAD/WATR,F
25217.1,HS,DISP LATEX PAINT:LAND/WAT,M
25189(C),HS,INTENTNAL DISP HAZD WASTE,M
25189(D),HS,NEGLIGENT DISP HAZD WASTE,M
25189.6(A),HS,RECKLESS TRANSP HAZ WASTE,F
25189.6(A),HS,RECKLESS TRANSP HAZ WASTE,M
7054(A),HS,DEP/ETC HUM RMAIN NOT CEM,M
25191(B)(1),HS,FALSIFY HAZ WASTE RPT/ETC,M
25191(B)(5),HS,TRNSP HAZ/WASTE:NO MANFST,M
25191(B)(6),HS,STORE/ETC/TRNSP HAZ WASTE,M
382.4,PC,UNLIC ADM SUCSTRN:DOG/CAT,M
382.7,PC,PRESC/ETC SILCONE:INJECTN,M
384(C),PC,PUB/ETC PHON DIR W/O WARN,M
385(C),PC,USE/ETC EQUP:NO SIGN:VOLT,M
402(B),PC,INTRF/ETC W/LIFGARD:EMERG,M
310.2(A),PC,GIVE/ETC DIURETIC/ETC:MNR,M
2795(B),BP,USE NURS TITLE/ETC:NO LIC,M
12082,HS,SELL/ETC EXPLOSIVE TO MNR,M
12088,HS,EXPL F/TRNSP:FAKE MRK/ECT,M
25160(B)(1),HS,TRNSP HAZ WAST NO PAPR:PR,F
25160(B)(1),HS,TRNSP HAZ WASTE NO PAPERS,M
25163(A)(1),HS,TRNSP HAZ WASTE NO REG:PR,F
25163(A)(1),HS,TRNSP HAZ WAST W/O REG,M
25540(B),HS,VIOL HAZ MATERIAL PROCEDR,M
308B(A),PC,DIST UNSOLICITED TOBACCO,M
34506(B),VC,VIO HAZ MAT TRNSP RUL/ETC,M
2795(A),BP,PRACTICE NURSING W/O LIC,M
374.3(H)(1),PC,DUMP/ETC WASTE:COMRCL AMT,M
15656(A),WI,ELD/DEP ADL ABUSE:GBH/DTH,F
25189.6(B),HS,ENDANGER:HAZ MAT:SBI/DTH,F
109300,HS,UNLAW SALE/ETC CANCR CURE,F
109365,HS,FRAUD:ARREST/CURE CANCER,F
120600,HS,REFUSE INFO/EXPOSE/ETC:VD,M
120275,HS,VIOLATE QUARANTINE/ETC,M
120280,HS,VIOL ISOLATION/ETC ORD:TB,M
120290,HS,WILFUL EXPOSR:DISEASE/ETC,M
117480,HS,DUMP/ETC GARB:NAVIG WATER,M
117485,HS,LOAD VES/DUMP GARB:WATERS,M
117555,HS,DUMP/ETC WASTE/GARB/ETC,M
110585(C),HS,CONCEAL DAMAGE/ETC:FOOD,M
110620,HS,MFG/SELL/ETC ADLTRTD FOOD,M
110625,HS,ADULTERATION OF FOOD,M
110690,HS,MISLEADING FOOD CONTAINER,M
110760,HS,MFG/SEL/ETC MISBRAND FOOD,M
113980,HS,IMPROP MFG/SERVE/ETC FOOD,M
114010,HS,IMPROP PROTECT FOOD:CONTM,M
111965,HS,UNCLEAN/ETC FOOD PROC EST,M
110398,HS,ADV ADULTERATED/ETC PRODS,M
23114(A),VC,IMPROP VEH:SPILL/ETC:HWY,M
386(A),PC,INOP/ETC FIRE PROTECT SYS,F
21 844(A),US,POS C/SUB W/O PRESCRP/ETC,M
36 261.11(D),US,FEDERAL REGULATION:LITTER,M
121705,HS,HIDE INFO:RABIES EXPOSURE,M
121710,HS,VIO RABIES QUARANTINE/ETC,M
12689(C),HS,MINOR POS FIREWORK/DEVICE,M
368(C),PC,ELDER/DEP ADULT CRUELTY,M
11107.1(A)(2),HS,SELL CHEM:BUYER NO ID/ETC,M
30955,FA,DOG AT LGE:STOCK:INJ/DTH,M
113995,HS,POTENTIAL HAZ:FOOD TEMP,M
114035,HS,FOOD WASTE DISP/ETC VIOL,M
114040,HS,FOOD FAC:SANITATION VIOL,M
114045(A),HS,ANIMAL/ETC:FOOD FACILITY,M
114100,HS,LIQ WASTE DISPOSAL VIOL,M
114105,HS,FOOD FACILITY TOILET VIOL,M
114295,HS,MOBILE FOOD UNIT OPR VIOL,M
111440,HS,MISBRAND DRUG/ETC:SEL/ETC,M
368(F),PC,FLSE IMPRISON:ELD/ETC:VIO,F
120291(A),HS,WILFUL EXPOSR TO KNWN HIV,F
15656(B),WI,ELD/DEP ADLT ABUSE:HEALTH,M
13387(A)(5),WC,POLLUTE SEWER W/HAZ SUB,F
13387(A)(5),WC,POLLUTE SEWER W/HAZ SUBST,M
25250.5(A),HS,IMPROP DISP USED OIL,M
25189.7(A),HS,BURN HAZ WASTE W/OUT PERM,M
25507(A),HS,FAIL RPT RELEASE HAZ MAT,M
13272(A),WC,FAIL NOTIFY OES OF DISCH,M
114070,HS,ADD SULFITE TO HAZ FOOD,M
13387(E),WC,FALSIFY/TAMPR RECORDS ETC,F
102850,HS,FAIL NOTIFY CORNR:MED ATT,M
365.6(A),PC,OBSTRUCT SERVICE DOG/USER,M
17995,HS,VIO ST BLDG STANDARD CODE,M
15630(H),WI,FAIL RPT ELDER/ETC ABUSE,M
15630(H),WI,F/RPT ELDER ABUSE:INJ/DTH,M
114294(A),HS,MOBILE FOOD FAC VIOL REQ,M
122335(B),HS,PERSON TETHER/ETC DOG,M
7103(A),HS,FAL PRFORM INTERMNT DUTIE,M
11166(A),PC,MNDT RPTR FAL RPT INCDNT,M
111300,HS,UNLAW ADULTERATE DRUG/DEV,M
18871.4(A),HS,UNL SEWAGE LEAK:REC VEH,M
379,PC,SELL/ETC SALVINORIN TO-18,M
114315(A),HS,FOOD FAC OPR VIOL REQUIRE,M
109290,HS,TREATING CANCER:NO LIC,F
114175,HS,FAIL MAINT EQUIP/UTENSILS,M
640(D)(2),PC,EXPLOSIVE/ETC:PUB TRANSIT,M
4148,BP,CONFISCT NDL/SYR O/S PREM,M
347(A)(1),PC,WILFUL POISN/ETC FOOD/ETC,F
25185.6,HS,HAZ WASTE DISPOSAL SECRET,M
374.5(A)(2),PC,DUMP GREASE WASTE:WATER,M
402(A)(1),PC,STOP/ETC:EMERGENCY SCENE,M
11362.3(A)(7),HS,SMOKE MARIJ WHILE DRIVING,M
347(B),PC,FALSE RPRT POISON IN FOOD,M
374.2(A),PC,DUMP HARMF SUBST SEWER PR,F
374.5(A)(1),PC,DUMP GREASE WASTE IN TRAP,M
383C,PC,FRDLNT SALE OF HALAL MEAT,M
386(B),PC,INOP FIRE PROTECT SYS GBI,F
11160(A)(1),PC,PRACT FL RPRT F/ARM INJ,M
11160(A)(2),PC,PRACT FL RPRT ASSLT INJ,M
11160(B)(3),PC,PRACT FL NTFY LE EXPIRED,M
11167.5(A),PC,VIOL CONFID MANDATED RPTR,M
18020.5(A),HS,VIOL MANUF HOUSING ACT,M
32907,FA,SELL/ETC INSANITARY MILK,M
35011(A),FA,DEAL/ETC IN MILK W/O LIC,M
35011(B),FA,MFG/ETC IMIT MILK W/O LIC,M
347B,PC,MFG/SELL POISONOUS ALCOHL,M
372,PC,PUBLIC NUISANCE,M
374C,PC,SHOOT F/ARM ON PUBLIC HWY,M
374D,PC,LEAVE DEAD ANIMAL NEAR ST,M
382.5,PC,SELL/ETC DINITROPHENOL,F
384(A),PC,RFS RLNQUSH LINE IN EMERG,M
375(B),PC,MFG/POSS OFFENSIVE MTR,M
347(B),PC,FALSE RPRT POISON IN FOOD,F
374.2(A),PC,DUMP HARMF SUBST IN SEWER,M
368(B)(1),PC,CAUSE INJ ELDER/DEP ADULT,F
368(B)(1),PC,CAUSE INJ ELDER/DEP ADULT,M
374.3(A),PC,DUMP WASTE ON PUB/PRIV RD,I
643,PC,ILL DISPOSL FETAL REMAINS,M
401(A),PC,AID/ADVISE/ETC SUICIDE,F
365.5(C),PC,VIOL PUB CONVEY DISAB/DOG,M
104559.5(B)(1),HS,VIOL TOBACCO RETAILER REG,I
13499.2(A),WC,FLS STMNT/CERT ST BOARD,M
13499.2(A),WC,FLS STMNT/CERT ST BOARD,F
1599.15(B)(1),HS,VIOL OBTN RESD WRIT CONS,M
1599.15(D),HS,VIOL VER REC WRIT CONSNT,M
1599.15(E),HS,VIOL INFRM CONS REF TRT,M
107075(A),HS,VIOL PROV/REG RADIO TECH,M
107170(A),HS,VIOL ART/REG RADIO TECH,M
5652(A),FG,PUT POLLUTANT NEAR WATERS,M
5650(A)(1),FG,POLUT WATER:PETROLEUM/ETC,M
5650(A)(2),FG,POLUT WATER:FACTORY/ETC,M
145,PC,DELAY TAKING BEFORE JUDGE,M
147,PC,INHUMANITY TO PRISONERS,M
181,PC,INFRINGE PERSONAL LIBERTY,F
236,PC,FALSE IMPRISONMENT,M
365,PC,INNKEEPER REFUSE GUEST,M
236,PC,FALSE IMPRISONMENT,F
236,PC,FALSE IMPRISON W/VIOLENCE,F
422.6(B),PC,DAMAGE PROP:VIO CIVL RGHT,M
422.6(A),PC,VIO CIVIL RGHTS:FRCE/THRT,M
210.5,PC,USE PERSON AS SHIELD,F
422.7(A),PC,CIV RGT VIOL:VIOLENT INJ,F
237(A),PC,FALSE IMPRISON:VIOL/ETC,F
237(A),PC,FALSE IMPRISONMENT,M
237(B),PC,IMPRISON:ELD/ETC:VIO/ETC,F
423.2(A),PC,VIOLENCE/ETC:REP HLTH SVS,M
423.2(B),PC,FORCE ON PRSN:PLCE WRSHIP,M
423.2(C),PC,NONVIOL OBST:REP HLTH SVS,M
423.2(D),PC,NONVIOL OBST:PLCE WORSHIP,M
423.2(E),PC,DAMAGE PROP:REP HLTH SVS,M
423.2(F),PC,DAMAGE PROP:PLACE WORSHIP,M
236.1(A),PC,HUMAN TRAFFICKING/LABOR,F
2652.5,PC,CHAIN/RESTRNT PRISNR NECK,M
4030(M),PC,BOD CAVITY/ETC SEARCH VIO,M
4031(F),PC,MNR BODY CAVITY SRCH VIOL,M
2652,PC,CRUEL/UNUSL TRTMNT PRISNR,M
11412,PC,RELIGIOUS TERRORISM,F
236.1(C),PC,HMN TRFK MNR COMM SEX ACT,F
236.1(B),PC,HMN TRFK TO CMT OTHR CRIM,F
673,PC,CRUEL/UNUS PUNSHMNT PRSNR,M
423.2(G),PC,PHOTO/ETC REPRO PAT INTIM,M
170,PC,OBTAIN WARRANT W/O CAUSE,M
618,PC,OPEN/PUB ANOTHERS LETTER,M
620,PC,ALTER TELEGRAPHIC MESSAGE,F
631(A),PC,UNAUTHORIZED WIRETAPPING,F
632(A),PC,EAVESDROPPING,F
634,PC,INVADE PRIVACY:TRESPASS,F
635(A),PC,SELL EAVESDROPPING DEVICE,F
637.1,PC,OPEN ANTH TELEP/TELEG MSG,F
653N,PC,INSTALL TWO-WAY MIRROR,M
632.6(A),PC,INTRCEPT/ETC REMOTE PHONE,F
637.5(A)(2),PC,CABLE TV CO ILL REL INFO,M
637.7(A),PC,INVAD PRIV:ELEC TRACK DEV,M
636.5,PC,GET/ETC PUB SAFE RADIOCOM,M
6254.21(B),GC,POST AP OFCL HOME ADD:GBI,M
6254.21(B),GC,POST AP OFCL HOME ADD:GBI,F
6603.3(A)(1),WI,DISCLS VIC ID INFO:ATTNY,M
6603.5,WI,DISCL VIC ID INFO:DCR EMP,M
632(A),PC,EAVESDROPPING,M
634,PC,INVADE PRIVACY:TRESPASS,M
620,PC,ALTER TELEGRAPHIC MESSAGE,M
631(A),PC,UNAUTHORIZED WIRETAPPING,M
632.5(A),PC,INTERCEPT/ETC CELL COMMUN,M
632.6(A),PC,INTRCPT/ETC CRDLSS COMMUN,M
632.7(A),PC,RECORD/ETC PHONE COMMUN,M
635(A),PC,SELL EAVESDROPPING DEVICE,M
636(B),PC,NONELECTR EAVESDROPING,M
636(B),PC,NONELECTR EAVESDROPING,F
637.1,PC,OPEN ANOTHERS TELE MESSAG,M
637.5(B),PC,CBL UNLAW USE SUBSCR INFO,M
637.5(C),PC,UNLAW DSSMNT SUB INFO GOV,M
637.5(D),PC,FLR MK SUBSCRBR INFO AVLB,M
637.6(A),PC,DISCLOSE RDSHR PRSNL INFO,M
637.9(A)(1),PC,FL VERIFY ID PR SELL LIST,M
637.9(A)(2),PC,PRVD SX OFR ACCS MNR INFO,M
637.9(B),PC,USE MNR INFO COMMERC PURP,M
637.9(C),PC,DIST MNR PRSNL INFO ABUSE,M
637.9(D)(1),PC,FL STP DISCL MNR INFO 20+,M
637.9(D)(2),PC,FL MNTN LIST MNR MRKTNG,M
637,PC,DISCL TELE MSSG W/O CNSNT,M
638(A),PC,PURCH/ETC CALL PTTRN RCRD,M
637,PC,DISCL TELE MSG W/O CNSNT,F
632.7(A),PC,RECORD/ETC PHONE COMMUN,F
632.5(A),PC,INTERCEPT/ETC CELL COMMUN,F
637.5(A)(1),PC,CBL TV RCRD/ETC CONVRSATN,M
636(A),PC,EVESDROP/ETC PRISNR/LAWYR,F
647(I),PC,PEEK INHAB BLDG W/LOITRNG,M
647(J)(1),PC,PEEK BEDROOM/ETC INV PRIV,M
647(J)(2),PC,INVAD PRIVCY CONCLD VIDEO,M
653.2(A),PC,ELECTR DIST HARRASS MATRL,M
647(J)(3)(A),PC,VIDEO/PHOTO BED/BTHRM/ETC,M
647(J)(4)(A),PC,DIST INTIM IMAG INT/HUMIL,M
638.51(A),PC,PEN REG DVC W/O CRT ORD,F
638.51(A),PC,PEN REG DVC W/O CRT ORD,M
423.2(H),PC,DIST FOTO REPRO PAT INTIM,M
21 952,US,IMPORT CNTL SUBSTANCE,F
871.5(A),WI,BRNG/ETC C/SUB/ETC:J/HALL,F
25603,BP,BRING LIQUOR INTO PRISON,F
871.5(D),WI,BRING/ETC ALC:JUV HAL/ETC,M
1001.5(A),WI,BRING/ETC C/SUB/ETC:CYA,F
18 545,US,SMUGGLE/ETC GOODS IN U S,F
1001.5(A),WI,POSS/ETC C/SUB/ETC:CYA,M
871.5(A),WI,BRNG/ETC CNT SUB:JUV HALL,M
4573.5,PC,BRING DRGS/ALC TO JL/PRSN,F
4573(A),PC,SMUGGLE CNTL SUB JL/PRSN,F
18560(C),EL,ATT TO/IMPERSONATE VOTERS,F
18560(C),EL,ATTEMPT/IMPERSONATE VOTER,M
18100,EL,VOTER REGISTRATION VIOL,F
18100,EL,VOTER REG VIOL,M
18613,EL,USE FICTITIOUS NAME,F
18660,EL,FALSE AFFIDAVIT,M
18660,EL,FALSE AFFIDAVIT,F
18101,EL,REG FICTITIOUS PERSON,F
18101,EL,REG FICTITIOUS PRSN,M
18611,EL,FALS CIRCULATE RECALL PET,F
18611,EL,FALS CIRCULATE RECALL PET,M
18201,EL,MAKE/ETC NOMINATION PAPER,F
18203,EL,FALSELY DECLAR CANDIDACY,F
18560(B),EL,VOTE/ATMPT:MORE THAN ONCE,F
18560(B),EL,VOTE/ATMPT:MORE THAN ONCE,M
18302(B)(1),EL,DIST VOTE LIT W/INCOR LOC,M
18302(B)(2),EL,DIST FLS INFO QUAL VOTE,M
18302(B)(3),EL,DIST FLS INFO QUAL VT ML,M
18302(B)(4),EL,DIST FLS INFO DT/TM VOTE,M
6218.01(A)(1),GC,POST INFO COMM VIOL REPRO,M
18370(A)(1),EL,CIRCULATE PET 100 FT POLL,M
18370(A)(2),EL,SOLICIT VOTE 100 FT POLL,M
18370(A)(3),EL,PLC QUAL SIGN 100 FT POLL,M
18370(A)(4),EL,ELECTNR 319.5 100 FT POLL,M
18370(C)(1),EL,SOLCT VOTE IN LINE/VCNTY,M
18370(C)(2),EL,SPEAK VTR MARK BLLT IN LN,M
18370(C)(3),EL,ELECTNR INFO VTR IN LINE,M
18541(A)(1),EL,SOLCT DISSUAD 100 FT POLL,M
18541(A)(1),EL,SOLCT DISSUAD 100 FT POLL,F
18541(A)(2),EL,PLC SIGN DISSUADE VT POLL,M
18541(A)(2),EL,PLC SIGN DISSUADE VT POLL,F
18541(A)(3),EL,PHOTO/ETC DISSUADE VOTE,M
18541(A)(3),EL,PHOTO/ETC DISSUADE VOTE,F
18541(A)(4),EL,OBSTR INGRESS DISSUADE VT,M
18541(A)(4),EL,OBSTR INGRESS DISSUADE VT,F
18541(C)(1),EL,SOLCT VOTE VOTER IN LINE,M
18541(C)(1),EL,SOLCT VOTE VOTER IN LINE,F
18541(C)(2),EL,SPEAK MARKING VTR IN LINE,M
18541(C)(2),EL,SPEAK MARKING VTR IN LINE,F
18541(C)(3),EL,ELECTNR INFO VTR IN LINE,M
18541(C)(3),EL,ELECTNR INFO VTR IN LINE,F
18568(G),EL,DISPLAY UNOFFIC BALOT BOX,M
18568(G),EL,DISPLAY UNOFFIC BALOT BOX,F
18568(H),EL,SOLCT PLC UNOFFIC BLT BX,M
18568(H),EL,SOLCT PLC UNOFFIC BLT BX,F
18560.1(A),EL,VOTE DIFF STATE SAME DAY,M
6701,RT,FAIL PLACE SECURITY TAX,M
6454,RT,FAIL TO FILE TAX RETURN,M
30474,RT,SALE/ETC UNSTAMP/ETC CIGS,M
7153.5,RT,EVADE/ETC SALES/USE TAX,F
19706,RT,BANK FAKE UNFILD RET:EVAD,F
6452(A),RT,UNFILED QUARTERLY TAX RET,M
19705(A)(1),RT,MAKE/ETC FLS RET/ETC:PERJ,F
30475(B),RT,TRNS CIG/ETC:NO PRMT:EVAD,F
30480,RT,EVADE TAXES:CIGS/ETC,F
19701(A),RT,FALSE/ETC STATE TAX/ETC,M
26 7201,US,EVADE/ETC FEDERAL TAXES,F
19721(A)(1),RT,WILLFUL INTENT DEFRD TAX,F
30473,RT,CNTRFEIT STAMP/EVAD TAX,F
30471,RT,FAIL/REFUSE FILE REPORT,M
6455(C),RT,FAIL FURNISH REQRD RETURN,M
19705(A)(2),RT,AID PREP FALSE TAX RTN,F
19542,RT,TX AGNT DISCL PRVT TX INF,M
439,PC,PROCR INS FRM UNLIC CMPNY,M
12001,FG,HUNT IN VIOL OF 12150 FG,F
2002,FG,POSS CREATURE ILLEGALLY,M
2006,FG,LOADED RIFLE IN VEH,M
2005,FG,HUNT W/ARTIFICIAL LIGHT,M
14 700,CA,CA REGS:HUNT/FISH W/O LIC,M
2118,FG,IMP/ETC WILD ANML:NO PERM,M
3004,FG,DISCHRG DEAD WPN/HNT BLDG,M
2000,FG,UNLAWFULLY TAKE BIRD/ETC,M
14 464(C),CA,CA REG ILEGAL TAKE RACOON,M
14 360(B),CA,CA REG:DEER OUT O SEASON,M
14 360(C),CA,CA REGS:POSS ILLEGAL DEER,M
2016,FG,UNAUTH HUNT:POSTED LAND,M
2010,FG,UNLAWFUL SHOTGUN:HUNTING,M
1054.2,FG,LICENSE NOT IN POSS/ETC,M
2353(A),FG,UNDCLRD W/LIFE IMPORT/ETC,M
8685.5,FG,TAKE SALMON/ETC:GILL NETS,M
8685.6,FG,SELL FISH TAKEN BY GILNET,M
3007,FG,TAKE BIRD/ETC W/O LICENSE,M
2118(B),FG,IMP/ETC MAMMAL W/O PERMIT,M
3002,FG,SHOOT BIRD/MAMAL:VEH/ETC,M
1052(B),FG,USE/POSS UNLAW FG LIC/ETC,M
7121,FG,SALE/ETC SPORT FISH/ETC,M
2536(A),FG,ACT/ETC:FG GUIDE W/O LIC,M
8278,FG,TAK/ETC -SIZE DUNGNS CRAB,M
3504,FG,SELL/ETC DOMEST GAME BIRD,M
4657(A),FG,FAIL TO TAG/ETC WILD PIG,M
3039(A),FG,HUNT:SALE/ETC CA BIRD/ETC,M
4336,FG,POSSESS UNTAGGED DEER,M
2012,FG,FAIL SHO GAME LIC/ETC:DEM,M
8603,FG,USE/ETC NET/ETC:TAKE FISH,M
42400.2(C),HS,FALS AIR EMIS DOC:INT:DEC,M
653P,PC,SEL/ETC SPEC DEAD SPECIES,M
653Q,PC,IMPORT/SELL/ETC DEAD SEAL,M
653R,PC,SELL/ETC ENDANGERD SPECIE,M
653O(A),PC,IMPRT/ETC SPEC DEAD ANIML,M
4758(A),FG,SELL/ETC BEAR MEAT/ETC,M
8218,FG,INJ/ETC SPEC SMALL SALMON,M
4330,FG,TAKE DEER W/O LICENSE,M
10500(C),FG,CATCH/ETC FISH/ETC:REFUGE,M
1603(A),FG,CHANG/ETC RIVR/ETC:UNAUTH,M
8047(C)(1),FG,COMM FISHER TRNSP LIC VIO,M
3801,FG,TAKE/POS NONGAME BIRD:HRS,M
7850(A),FG,OPR W/O COMRCIAL FISH LIC,M
7852(C),FG,FISH W/O COM LIC:NONRES,M
10500(F),FG,POS/ETC MARINE LIFE:RFUGE,M
3005.5,FG,CAPTURE/ETC SPEC WILDLIFE,M
7881(B),FG,VIO:SHOW/ETC COM BOAT REG,M
7860(A),FG,TAKE SALMON W/O COM STAMP,M
14 257.5,CA,CA:TAKE GAMEBIRD/MAM:BAIT,M
14 27.60,CA,CA REG:OVER LIMIT OF FISH,M
14 190,CA,CA REG:FISH ACTIVITY VIOL,M
4800,FG,INJURE/POS/ETC MOUNTNLION,M
7923,FG,FISH REC VIO:COMM/PASENGR,M
36 261.11(B),US,FR:POS/LEAVE UNSANI LITER,M
4500,FG,TAKE MARINE MAMMAL VIOL,M
8394,FG,TAKE SWORDFISH W/O PERMIT,M
3000,FG,HUNTING:BIRD/ETC AT NIGHT,M
4341,FG,DEER TAG NOT COUNTERSIGND,M
14 5.75(B),CA,CA REG:STRIPD BASS SZ VIO,M
14 5.75(C),CA,CA REG:STRPD BASS OVR LIM,M
14 29.15(B),CA,REG:ABALONE OUT OF SEASON,M
8623(A),FG,UNLAW USE OF PURSE SEINE,M
2017,FG,UNLAW HUNT ON PRIV PROP,M
14 6565,CA,C/REG:PRSNL FLOT DEV VIOL,M
1052(F),FG,ALTER/MUTILATE/ETC LICENS,M
1052(A),FG,UNLAWFUL TRANSFER LIC/TAG,M
1052(C),FG,USE/POSS CNTERFEIT LIC,M
8399.1(A)(2),FG,DIST 10:SQUID VIOLATION,M
14 4456,CA,CA REG:FAIL VACATE CAMP,M
3700(A),FG,NO STATE DUCK STAMP,M
14 5.00(A)(1),CA,CA REG:EXCEED BAG LIMIT,M
14 28.56(C),CA,CR:POSS UNDRSZE LEP SHARK,M
14 6573(A),CA,CA REG:FIRE EXTING VIOL,M
36 2.10(B)(10),US,FR:CAMP O/SIDE DES AREA,M
36 2.13(A)(1),US,FR:FIRE UNDESIGNATED AREA,M
14 551(C)(2),CA,CA REG:NO GLASS TARGETS,M
3087(A)(1),FG,TAXIDERMIST:FAIL KEEP REC,M
14 4310,CA,CA REG:LITTERING A UNIT,M
14 27.85(C)(1),CA,CA REG:STRIPD BAS:MINM SZ,M
14 4658,CA,CA:OPR BOAT EXCESS SPEED,M
36 2.10(B)(2),US,FR:LV EQUIP/REFUSE SITE,M
36 2.10(B)(8),US,FED REG:FAIL OBT CMP PERM,M
14 630(A)(10),CA,UNLAW ENTR ECOLOG RESERVE,M
5000,FG,TAKE/SELL/POSSES TORTOISE,M
14 700(B),CA,CA REG:INVALID HUNT LIC,M
14 1.74(C)(1),CA,CA REG:SPORT FISHING VIOL,M
14 6697(A),CA,CA REG:NEGLIGENT OPERATOR,M
8625(A),FG,ILLEGAL SIZE NET USED,M
1054(A),FG,FALSE STATEMENT:OBTN LIC,M
1602(A),FG,UNLAW DIVERSION WATER FLO,M
